,0
0,0.9375
1,0.9375
2,0.9375
3,0.9375
4,0.9375
5,0.9375
6,0.9375
7,0.9375
8,0.9375
9,0.9375
10,0.9375
11,0.9375
12,0.9375
13,0.9375
14,0.9375
15,0.9375
16,0.9375
17,0.9375
18,0.9375
19,0.9375
20,0.9375
21,0.9375
22,0.9375
23,0.9375
24,0.9375
25,0.9375
26,0.9375
27,0.9375
28,0.9375
29,0.9375
30,0.9375
31,0.9375
32,0.9375
33,0.9375
34,0.9375
35,0.9375
36,0.9375
37,0.9375
38,0.9375
39,0.9375
40,0.9375
41,0.9375
42,0.9375
43,0.9375
44,0.9375
45,0.9375
46,0.9375
47,0.9375
48,0.9375
49,0.9375
50,0.9375
51,0.9375
52,0.9375
53,0.9333333333333333
54,0.9333333333333333
55,0.9333333333333333
56,0.9333333333333333
57,0.9333333333333333
58,0.9333333333333333
59,0.9333333333333333
60,0.9333333333333333
61,0.9333333333333333
62,0.9333333333333333
63,0.9333333333333333
64,0.9333333333333333
65,0.9333333333333333
66,0.9333333333333333
67,0.9333333333333333
68,0.9285714285714286
69,0.9285714285714286
70,0.9285714285714286
71,0.9285714285714286
72,0.9285714285714286
73,0.9285714285714286
74,0.9285714285714286
75,0.9285714285714286
76,0.9285714285714286
77,0.9230769230769231
78,0.9230769230769231
79,0.9230769230769231
80,0.9090909090909091
81,0.9090909090909091
82,0.9090909090909091
83,0.9090909090909091
84,0.9090909090909091
85,0.9090909090909091
86,0.9090909090909091
87,0.9090909090909091
88,0.9090909090909091
89,0.8888888888888888
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
